specimen_id,genus,species,ref_pic,locality,formation,min_age,max_age,format,has_scale
NMNH245618,Schizostylus,Schizostylus brevicaudatus,Eldredge and Branisa 1980,Padilla,Icla Formation,Pragian,NA,xml,True
NMV_P123401,Dicranurus,Dicranurus sp nov,Ramskold 1991,Boree Creek,Boree Creek Formation,Sheinwoodian,NA,xml,True
NMV_P144043,Sculptoproetus,Sculptoproetus sp,Owens 1994,Lilydale,Humevale Formation,Lochkovian,NA,xml,True
NMV_P312919,Australoscutellum,Australoscutellum pulex,Holloway & Lane 2012,Locality PL1995,Mirrabooka Formation,Ludfordian,Sheinwoodian,xml,True
NMV_P313297,Kosovopeltis,Kosovopeltis trepida,Holloway and Lane 2012,Orange district,Mirrabooka,Wenlock,NA,xml,True
NMW2005-32G-132,Trimerus,Trimerus kinglakensis,Pour et al 2019,Lake Balkhash,Shakshagaily,Lower Devonian,NA,xml,True
NMW_2005.32G.135,Agerina,AgeriNAacutilimbata,Ghobadi Pour et al 2011,Ayaguz River,Karagach Formation,Katian,NA,xml,True
NMW_79.35G.1,Rorringtonia,Rorringtonia kennedyi,Owens 1981,Powys,NA,Darriwilian,Darriwilian,xml,True
NMW_86.256.40,Bollandia,Bollandia columba,Tisley 1988,Peak District,NA,Tournaisian,NA,xml,True
NMW_87.75G.1009a,Diacalymene,Diacalymene allportiana,Siveter 1995,Road cut between Buildwas & Telford,Coalbrookdale,Homerian,Homerian,xml,True
NMW_88.36G.4,,,,,,,,xml,True
NMW_90_18G187,Madygenia,Madygenia communis,Owens 2004,Allberg,Loka,Rhuddanian,Hirnantian,xml,True
NMW_95.7G.139,Paladin,Paladin eakringensis,Tilsley and Owens 2003,Derbyshire,Topeka Limestone Formation,Serpukhovian,NA,xml,True
NM_L6127,Bohemoharpes,Bohemoharpes naumanni,Ebach and MacNamara 2002,NA,NA,NA,NA,xml,False
NUF4898,Carbonocoryphe,Carbonocoryphe rockhamptonensis,engel y Morris 1989,Great Star River,NA,Visean,NA,xml,True
NYSM4733,Monodechenella,Monodechenella macrocephala,Owens 1994,Canandaigua Lake,Hamilton Group,Givetian,NA,xml,True
NYSM_13376-1,Synphoroides,Synphoroides dolphi,Delo 1940,Port Jervis,Helderberg Formation,Devonian,NA,xml,True
NYSM_31318,Coronura,Coronura aspectans,Stumm 1954,Upper Onondaga limestone,NA,Middle Devonian,NA,xml,True
NYSM_31330,Odontocephalus,Odontocephalus selenourus,Stumm 1954,Lower Onondaga limestone,Bois Blanc Formation,Middle Devonian,NA,xml,True
NYSM_9848,Huntoniatonia,Huntoniatonia nasuta,Delo 1940,Schoharie,NA,Lower Devonian,NA,xml,True
N_704_26_CSGM,Eurycarina,Eurycarina oblonga,Petrurina 2002,Kuznetsk Alatau,Kitat,Jiangshanian,Tremadocian,xml,True
N_704_47_CSGM,Boekaspina,Boekaspina compressa,Petrurina 2002,Kuznetsk Alatau,Kitat,Tremadocian,Tremadocian,xml,True
N_704_9_CSGM,Nikarivshanus,Nikarivshanus miraculus,Petrurina 2002,Kuznetsk Alatau,Kitat,Stage 10,Stage 10,xml,True
P136135,Orygmatos,Orygmatos yanyeani,Sandford 2000,Central Victoria,Melbourne Formation,Ludlow,NA,tps,False
P307225,Nephranomma,Nephranomma sweeti,Sandford 2003,NA,NA,Pragian,NA,tps,True
PIL_14383,Psilocara,Psilocara lilliae,Waisfeld Vaccari 2003,Quebrada del Barranco,Parcha,Tremadocian,Floian,xml,True
PIL_14390,Psilocara,NA,Tortello 1999,Incamayo creek,Parcha Formation,Tremadocian,NA,xml,True
PIU_V_4284,Parabolina,Parabolina lobata,Henningsmoen 1957,Kinnekulle,Alum shale,Jiangshanian,Tremadocian,xml,True
PMO_NF_300,Svalbardites,Svalbardites hebaxis,Fortey 1974,Spitsbergen,Valhallfonna Formation,Floian,Floian,xml,True
PMO_NF_815,Anaximander,Anaximander clavatus,Fortey 1974,Spitsbergen,Valhallfonna Formation,Tremadocian,Floian,xml,True
PRI_44579,Radnoria,Radnoria bretti,Adrain & Tetreault 2005,Lockport,Rochester,Sheinwoodian,Sheinwoodian,xml,True
Peng_1992_Chekiangaspis,Chekiangaspis,NA,Peng 1992,Shenjiawan,Huaqiao,Paibian,Paibian,xml,True
Plate4_fig15_Westergard_1984,Ullaspis,Ullaspis conifrons,Westergard 1984,Ullavi,NA,Guzhangian,Guzhangian,xml,True
Poroscutellum,Poroscutellum,Poroscutellum porosum,Snajdr et al 1990,Dvorce-Prokop Limestone,Praha,Pragian,NA,xml,True
RBCM_P977,Aciculolenus,Aciculolenus askewi,Chatterton 2020,Bull River Valley Locality 15,McKay Group,Jiangshanian,Jiangshanian,xml,True
SBNM-CF_1019,Centriproetus,Centriproetus concentricus,Snajdr 1980,Prokop Limestone,NA,Lochkovian,NA,xml,True
SBNM-CF_581,Pragoproetus,Pragoproetus menamiensis,Johnson and Fortey 2012,Menany,Veanrice Limeston,Pragian,NA,xml,True
SBNM-IT_212,Xiphogonium,Xiphogonium loveni,Snajdr 1980,Zlichov Limestone,NA,Eifelian,NA,xml,True
SBNM-IT_257,Prionopeltis,Prionopeltis striata,Snajdr 1980,Dlouha hora,Pridoli Formation,Pridoli,NA,xml,True
SBNM_663-66,Voigtaspis,Voigtaspis veleslavini,Snajdr 1980,Koneprusy Limestone,NA,Pragian,NA,xml,True
SBNM_786-66,Denemarkia,Denemarkia frontalis,Snajdr 1980,Koneprusy Limestone,NA,Pragian,NA,xml,True
SBNM_Br_291,Planiscutellum,Planiscutellum planum,Snajdr 1960,Lodenice,NA,Wenlock,NA,xml,True
SBNM_CF682,Thysanopeltis,Thysanopeltis speciosa,Snajdr 1960,Koneprusy,Suchomasty Limestones,Emsian,NA,xml,True
